TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0.181776,0.495291,2.74944,0.468406,0.206724,0.00659443,1.48942,0.159761,0.155851,1.93527,0.1324
0.464399093,0,0.175403,0.19939,3.38437,0.16951,0.270184,0.0140108,1.60765,0.0463323,0.0626726,2.13278,0.154263
0.510839002,0,0.0491828,0.136782,3.72307,0.031691,0.277051,0.0246263,1.5972,0.167489,0.0457579,2.13291,0.0271908
0.557278912,0,0.0419541,0.12431,3.96457,0.0443964,0.296701,0.0245088,1.66322,0.185899,0.0443689,2.02213,0
0.603718821,0.146317,0.0843206,0.038434,4.03754,0.0438582,0.205888,0.0196852,1.75096,0.153055,0.0605749,1.94415,0
0.650158730,0.244226,0.128932,0,4.08589,0.0537377,0.192666,0.0229416,1.7265,0.00891386,0.0105094,1.74609,0
0.696598639,0.297109,0.0842946,0.00046374,4.02686,0.214484,0.0374611,0.0352804,1.62658,0.0470711,0.54004,1.65747,0
0.743038549,0.3608,0.0337859,0.0245916,3.81539,0.300958,0.0530575,0.0615422,1.60406,0.143164,0.842912,1.64846,0
0.789478458,0.347448,0,0.0276696,3.7595,0.29682,0.0543928,0.0817628,1.52084,0.160954,0.723174,1.63099,0
0.835918367,0.339053,0.000494699,0.00209207,3.6988,0.231075,0.126783,0.0842731,1.38824,0.183375,0.222894,1.67282,0
0.882358277,0.275658,0.00917114,0.00169338,3.6824,0.0429691,0.188791,0.0636418,1.29818,0.202703,0.128729,1.74039,0
0.928798186,0.262395,0.0515904,0.00354777,3.84907,0.00442145,0.0929045,0.043429,1.597,0.109774,0.121254,1.63364,0
0.975238095,0.272793,0.086975,0.115101,3.80502,0,0.189443,0.192503,1.62462,0.16577,0.0389026,1.38616,0
1.021678005,0.298771,0.00758445,0.156125,3.68274,0,0.248279,0.23004,1.60299,0.345522,0.0128569,1.34197,0
1.068117914,0.217981,0.00196966,0.00498,3.60232,0.107847,0.113335,0.109742,1.71488,0.424641,0.0134369,1.5584,0.0340285
1.114557823,0.119276,0.00107007,8.95439e-05,3.50656,0.137381,0.170399,0.0642973,1.79949,0.362484,0.0596533,1.55458,0
1.160997732,0.0459634,0.000270394,0,3.47006,0.145259,0.202228,0.0586318,1.83752,0.403899,0.0528367,1.58798,0
1.207437642,0.0756943,0,0.0690321,3.48338,0.147205,0.0842157,0.0873167,1.59054,0.638923,0.0719098,1.60447,0
1.253877551,0.178177,0.00200903,0.139972,3.6864,0.137291,0.0172797,0.179539,1.50054,0.573665,0.0505676,1.4125,0
1.300317460,0.251487,0.00520023,0.19589,3.91414,0.0707109,0.0372903,0.314321,1.66864,0.298626,0.0543451,1.27309,0
1.346757370,0.274454,0.00681383,0.225627,3.96959,0.0529546,0.120486,0.470159,1.6177,0.035986,0.288254,1.36788,0
1.393197279,0.268212,0.00149425,0.16042,3.81573,0.0716217,0.208832,0.431364,1.57787,0.0721207,0.446574,1.44658,0
1.439637188,0.266461,0,0.118878,3.80463,0.0705728,0.218433,0.391112,1.51456,0.0214661,0.297725,1.42103,0
1.486077098,0.258582,0,0.0854856,3.81125,0.0565099,0.204025,0.225326,1.46219,0.0232025,0.0802088,1.48094,0
1.532517007,0.268111,0.00516516,0.0249139,3.66491,0.0520742,0.232583,0.203397,1.48714,0.207166,0.157941,1.4961,0
1.578956916,0.235355,0.0045704,0.00317938,3.30217,0.0940997,0.361867,0.0459144,1.53749,0.337976,0.323741,1.60098,0
1.625396825,0.229284,0.00232628,0.00214506,3.18538,0.0910436,0.38995,0.0288349,1.56321,0.409245,0.253348,1.56605,0.000401612
1.671836735,0.24184,0.00271176,0.00167398,3.26974,0.0956359,0.372262,0.0137959,1.50079,0.479623,0.18081,1.57434,0.0362255
1.718276644,0.2563,0.076201,0.0632124,3.4809,0.113054,0.289161,0.000630018,1.55797,0.453773,0.097459,1.48965,0.0597575
1.764716553,0.260335,0.0536246,0.0216654,3.44567,0.124415,0.252265,0.00258391,1.62473,0.464222,0.101755,1.49481,0
1.811156463,0.247458,0.11991,0.0405076,3.05501,0.144796,0.278268,0.00583311,1.8462,0.524782,0.0588378,1.53008,0
1.857596372,0.241546,0.0342518,0.146375,2.88196,0.043528,0.414675,0.00766961,1.94026,0.606252,0.0271713,1.45569,0
1.904036281,0.250799,0.0740627,0.153828,2.71478,0.0408136,0.370124,0.227603,1.6767,0.585021,0.0251893,1.41575,0
