TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,1.02329,0.00283421,0.449994,0.854125,0.677018,0.00231851,0.73528,0.417933,1.3226,0.608691,0.468033,0.274343
0.882358277,0.900189,0,0.2807,0.472072,0.501743,0.187915,0.739624,0.461375,1.7646,0.593221,1.11767,0.55901
0.928798186,0.737067,0,0.30033,0.311777,0.48623,0.218931,0.45259,0.656653,2.21748,0.294048,1.24839,0.948518
0.975238095,0.93142,0,0.261922,0.413281,0.547095,0.0192634,0.515999,0.790239,2.35048,0.0631144,1.03925,1.05221
1.021678005,1.11141,0,0.291812,0.364784,0.733795,0.115769,0.554844,0.773859,2.18149,0.0733905,1.07016,0.910954
1.068117914,1.20693,0.00219863,0.668232,0.356521,1.07308,0.326142,0.42867,0.378383,2.04302,0.0664925,1.01467,0.507459
1.114557823,1.05442,0.129335,1.04017,0.330619,1.23162,0.557818,0.112977,0.116459,2.17603,0.245127,0.797814,0.360005
1.160997732,0.591954,0.14469,0.73481,0.37274,0.967501,0.713993,0.0833974,0.209309,2.24574,0.396387,0.928511,0.352915
1.207437642,0.725691,0.068969,0.0416856,0.410301,0.785954,0.575746,0.13639,0.709244,2.01175,0.410834,1.05532,0.224288
1.253877551,0.712149,0.0718648,0.00728042,0.738542,0.722877,0.552945,0.141471,1.13749,1.35591,0.417689,0.859599,0.216642
1.300317460,0.941069,0.17052,0.171874,1.23242,0.665001,0.51339,0.0915828,1.10074,0.58497,0.371178,0.642303,0.0997046
1.346757370,1.08313,0.127361,0.173489,1.3756,0.41944,0.326647,0.200571,1.14727,0.592031,0.0263612,0.784158,0.146938
1.393197279,1.07705,0.00287977,0.00476735,1.31327,0.0439828,0.09711,0.450109,1.38692,0.790396,0.448627,0.7275,0.282775
1.439637188,0.894646,0.0456328,0.249375,0.914337,0.0671124,0.115913,0.600899,0.796088,0.881285,0.353089,0.814771,0.521187
1.486077098,1.201,0.243567,0.214788,0.583666,0.5945,0.309054,0.534768,0.27374,0.783032,0.155049,0.851371,0.460469
1.532517007,0.986706,0.635528,0.0750039,0.807608,0.679595,1.09584,0.085167,0.0321422,0.677673,0.285143,0.949573,0.103963
1.578956916,0.943846,0.699596,0.0376768,0.981177,0.340386,1.05978,0.0614392,0.062962,0.608009,0.496375,0.916603,0.290617
1.625396825,1.05041,0.387531,0.0366835,1.23211,0.35224,0.695786,0.205263,0.436006,0.374735,0.758625,0.658333,0.270056
1.671836735,1.17012,0.0867847,0.150179,1.30239,0.471315,0.840669,0.34487,0.430484,0.277866,0.586268,0.162384,0.515258
1.718276644,1.01696,0.0374249,0.180343,0.735924,0.383707,1.573,0.464703,0.205156,0.2608,0.405293,0.15006,0.622852
1.764716553,0.784362,0.293791,0.0982166,0.400755,0.343454,1.92047,0.368101,0.231684,0.0537817,0.46109,0.167787,0.686321
1.811156463,0.565254,0.380571,0.235618,0.458286,0.358886,1.80263,0.826933,0.420312,0.0390025,0.460229,0.177234,0.343459
1.857596372,0.351978,0.41476,0.0535589,0.753572,0.42988,0.967144,1.16176,0.851836,0.204827,0.411774,0.150905,0.313111
1.904036281,1.36896,0,0.00130319,0.91031,0.577958,0.418638,1.43388,1.12088,0.073278,0.84768,0.154185,0.167247
1.950476190,1.86414,0,0.053001,0.838905,0.713943,0.399738,1.51102,1.29477,0.0158442,0.922469,0.161937,0
1.996916100,1.34075,0.00742077,0.158159,0.558053,0.440623,0.974299,1.80264,0.953718,0.0469454,0.889019,0,0.429375
2.043356009,1.28783,0.305524,0,0.919552,0.325114,0.496895,0.785783,1.1417,0.158293,0.528053,0,0.501521
2.089795918,1.4364,0.472262,0.00459536,1.34146,0.345234,0.332061,0.425697,1.15346,0.0771888,0.115691,0.126543,0.457414
2.136235828,1.60708,0.523088,0.0163142,1.50897,0.395369,0.243714,0.319318,1.29634,0.0226205,0.027229,0.188123,0.409133
